der Absolvent, -en / die Absolventin, -nen	graduate / випускник | Als Absolvent einer IT-Akademie suche ich meinen ersten Job.
der Band, "-e	volume (book) / том (книги) | Das Handbuch für das alte System füllt einen ganzen Band.
die Bedienbarkeit (Sg.)	usability, operability / зручність використання, юзабіліті | Wir haben die Bedienbarkeit (Usability) des Admin-Dashboards stark verbessert.
das Begleitprogramm, -e	supporting program / супровідна програма | Neben den Tech-Talks gibt es auf der Messe ein tolles Begleitprogramm (z.B. Hackathons).
etw. behaupten (behauptet, behauptete, hat behauptet)	to claim, to assert / стверджувати | Der Anbieter behauptet, dass sein System absolut sicher vor Hackern ist.
dynamisch	dynamic / динамічний | Wir haben eine dynamische Webseite entwickelt, die sich an User-Präferenzen anpasst.
etw. einbeziehen (bezieht ein, bezog ein, hat einbezogen)	to include, to integrate / залучати, включати | Wir müssen das Feedback der Beta-Tester in das nächste Release einbeziehen.
etw. einsetzen (setzt ein, setzte ein, hat eingesetzt)	to deploy, to use, to employ / застосовувати, впроваджувати | Welche Technologien setzt ihr in eurem aktuellen Projekt ein?
etw. erweitern (erweitert, erweiterte, hat erweitert)	to expand, to extend / розширювати | Wir wollen die Funktionalität unserer API noch in diesem Quartal erweitern.
das Experiment, -e	experiment / експеримент | Dieses A/B-Testing ist ein Experiment, um die Conversion Rate zu erhöhen.
der Fachberater, - / die Fachberaterin, -nen	specialist consultant / фахівець-консультант, експерт | Unser IT-Fachberater hilft Kunden bei der Umstellung auf die Cloud.
das Fachwissen (Sg.)	expertise, expert knowledge / професійні знання, експертиза | Für diese Position wird tiefes Fachwissen im Bereich Cybersecurity erwartet.
fundiert	profound, well-founded, sound / ґрунтовний, глибокий | Der Senior Developer hat sehr fundierte Kenntnisse in Softwarearchitektur.
das Gerücht, -e	rumor / чутка | Es gibt das Gerücht, dass Apple bald eine neue VR-Brille vorstellt.
individuell	individual, custom / індивідуальний, кастомний | Wir programmieren eine individuell angepasste Software-Lösung für den Kunden.
die Jugendsozialarbeit (Sg.)	youth social work / молодіжна соціальна робота | Es gibt eine App, die Organisationen in der Jugendsozialarbeit vernetzt.
die Komponente, -n	component / компонент | Wir entwickeln das User-Interface mit wiederverwendbaren React-Komponenten.
das Lehrwerk, -e	textbook, coursebook / підручник, навчальний посібник | Dies ist das beste Lehrwerk, um die Programmiersprache C++ zu lernen.
die Lernhilfe, -n	study aid / навчальний посібник | Flashcard-Apps wie Anki sind eine großartige digitale Lernhilfe.
die Lernplattform, -en	learning platform / навчальна платформа | Wir hosten unsere Coding-Kurse auf einer eigenen Lernplattform.
die Messepräsentation, -en	trade fair presentation / презентація на виставці | Die Messepräsentation unseres neuen KI-Features lief perfekt.
Multimedia-Inhalte (Pl.)	multimedia content / мультимедійний контент | Die App muss große Mengen an Multimedia-Inhalten schnell laden können.
die Neuerscheinung, -en	new release, new publication / новинка, нове видання | Diese Bibliothek ist eine Neuerscheinung auf GitHub und trendet gerade.
sich orientieren an (+ Dat.) (orientiert sich, orientierte sich, hat sich orientiert)	to orient oneself by, to follow / орієнтуватися на | Beim Design orientieren wir uns stark an den Material Design Guidelines von Google.
die Schulform, -en	type of school / тип школи | Unsere Bildungs-Software ist für jede Schulform (Gymnasium, Realschule) geeignet.
der Überblick, -e	overview / огляд, уявлення, загальна картина | Das Dashboard gibt dem Admin einen schnellen Überblick über die Server-Last.
überwiegend	predominantly, mostly / переважно | Unser Entwickler-Team arbeitet überwiegend remote aus dem Homeoffice.
sich verbessern (verbessert sich, verbesserte sich, hat sich verbessert)	to improve / покращуватися, вдосконалюватися | Dank des Refactorings hat sich die Code-Qualität deutlich verbessert.
der Verlag, -e	publisher / видавництво | Der IT-Verlag bringt ein neues Buch über Kubernetes heraus.
der Vortrag, "-e	lecture, presentation, talk / доповідь, лекція | Ich habe auf der Konferenz einen interessanten Vortrag über DevOps gehört.
das Wissen (Sg.)	knowledge / знання | Das Wissen im IT-Bereich veraltet extrem schnell, man muss ständig lernen.
der Workshop, -s	workshop / воркшоп, майстер-клас | Wir machen am Freitag einen internen Workshop zum Thema Clean Code.
die Anforderung, -en	requirement, demand / вимога | Die technischen Anforderungen an dieses Projekt sind sehr hoch.
die Arbeitsbelastung (Sg.)	workload / робоче навантаження | Die Arbeitsbelastung ist in der Woche vor dem Release oft enorm.
die Beschreibung, -en	description / опис | Bitte füge dem Pull Request eine kurze Beschreibung deiner Änderungen hinzu.
der Bildungsbereich, -e	education sector / сфера освіти | EdTech-Startups bringen Innovationen in den klassischen Bildungsbereich.
die Digitalisierung (Sg.)	digitalization / цифровізація | Die Digitalisierung von analogen Prozessen spart Unternehmen viel Zeit und Geld.
etw. erfüllen (z. B. Anforderungen) (erfüllt, erfüllte, hat erfüllt)	to meet, to fulfill (e.g. requirements) / виконувати, задовольняти (напр., вимоги) | Diese Software-Lösung erfüllt alle Anforderungen des Kunden.
die Geschäftsidee, -n	business idea / бізнес-ідея | Er hat eine geniale Geschäftsidee für eine neue Social-Media-App.
gut tun (tut gut, tat gut, hat gutgetan)	to do good, to be beneficial / робити добро, йти на користь | Ein paar Tage Urlaub ohne Laptop werden dir nach diesem Projekt gut tun.
etw. investieren (investiert, investierte, hat investiert)	to invest / інвестувати, вкладати | Die Firma will eine Million Euro in die Entwicklung der neuen Plattform investieren.
die Revolution, -en	revolution / революція | ChatGPT hat eine echte Revolution in der Softwareentwicklung ausgelöst.
die Weisung, -en	instruction, directive / вказівка, інструкція | Der Entwickler arbeitete auf direkte Weisung des CTO an diesem Feature.
die Anwendung, -en	application / застосунок, додаток (IT) | Die mobile Anwendung wurde nativ in Swift für iOS programmiert.
ausgeprägt	distinct, pronounced, strong / виражений, характерний, сильний | Er hat ein stark ausgeprägtes logisches Denken – perfekt fürs Programmieren.
das Bankdarlehen, -	bank loan / банківська позика | Das Startup musste ein Bankdarlehen aufnehmen, um die neuen Server zu bezahlen.
das Bedürfnis, -se	need, requirement / потреба | Unsere Software ist exakt auf die Bedürfnisse der Logistik-Branche zugeschnitten.
Bedürfnisse erfüllen	to fulfill needs / задовольняти потреби | Eine gute App muss die Bedürfnisse der User schnell und einfach erfüllen.
benutzerfreundlich	user-friendly / зручний для користувача, зрозумілий | Das neue Interface ist deutlich benutzerfreundlicher als die alte Version.
der Bildungsverlag, -e	educational publisher / навчальне видавництво | Der Bildungsverlag digitalisiert seine Lerninhalte für die neue Schul-Cloud.
die Branchenkenntnis, -se	industry knowledge / знання галузі | Für den Job als IT-Berater ist tiefe Branchenkenntnis im Finanzsektor wichtig.
der Businessplan, "-e	business plan / бізнес-план | Im Businessplan für unser Tech-Startup ist auch das Budget für AWS kalkuliert.
das Darlehen, -	loan / позика, кредит | Wir zahlen das Darlehen für das neue Büro in monatlichen Raten zurück.
das Eigenkapital (Sg.)	equity, own capital / власний капітал | Die Gründer haben viel Eigenkapital in die Software-Firma gesteckt.
erfolgsversprechend	promising / багатообіцяючий, перспективний | Die neue KI-Technologie sieht sehr erfolgsversprechend aus.
der Finanzplan, "-e	financial plan / фінансовий план | Der CFO (Finanzchef) hat den Finanzplan für das nächste Jahr vorgestellt.
die Fixkosten (Pl.)	fixed costs / постійні витрати | Server-Miete und Gehälter gehören zu den monatlichen Fixkosten der IT-Firma.
geschäftsführend	managing, executive / керуючий | Als geschäftsführender Gesellschafter leitet er das Startup.
das Geschäftsprofil, -e	business profile / бізнес-профіль | Unser Geschäftsprofil auf LinkedIn zieht viele Recruiter an.
der Gesellschafter, - / die Gesellschafterin, -nen	partner, shareholder / засновник, партнер, акціонер | Die Gesellschafter haben entschieden, den Code als Open Source freizugeben.
die GmbH, -s	LLC (Limited Liability Company) / ТОВ (товариство з обмеженою відповідальністю) | Unser IT-Startup wurde letztes Jahr offiziell als GmbH in Berlin registriert.
die Investitionskosten (Pl.)	investment costs / інвестиційні витрати | Die Investitionskosten für den Aufbau eines eigenen Rechenzentrums sind gigantisch.
etw. integrieren (integriert, integrierte, hat integriert)	to integrate / інтегрувати, впроваджувати | Wir wollen den Payment-Provider Stripe in unseren Shop integrieren.
das Know-how (Sg.)	know-how, expertise / ноу-хау, практичні знання | Wir suchen jemanden mit tiefem Know-how im Bereich Cloud-Architektur.
kompetent	competent, capable / компетентний | Unser Support-Team ist sehr kompetent und löst Tickets in Rekordzeit.
das Konkurrenzunternehmen, -	competing company / компанія-конкурент | Das Konkurrenzunternehmen hat leider ein ähnliches Feature vor uns gelauncht.
die Kredithöhe, -n	loan amount / сума кредиту | Die Kredithöhe reicht genau für die Entwicklung des Prototyps (MVP).
die Laufzeit, -en	runtime, duration, term / час виконання (IT), термін дії (контракту) | Die Laufzeit (Runtime) dieses Algorithmus muss dringend optimiert werden.
die Ratenzahlung, -en	installment payment / оплата частинами | Für teure Software-Lizenzen bieten wir Kunden auch Ratenzahlung an.
etw. realisieren (realisiert, realisierte, hat realisiert)	to realize, to implement / реалізувати, впроваджувати | Wir wollen dieses komplexe Feature noch im aktuellen Sprint realisieren.
die Rechtsform, -en	legal form / правова форма (підприємства) | Die GmbH ist die beliebteste Rechtsform für IT-Startups in Deutschland.
die Schufa-Auskunft, "-e	credit report (Schufa) / кредитна історія (Schufa в Німеччині) | Der Vermieter des neuen IT-Büros verlangt eine positive Schufa-Auskunft.
das Sprachtraining, -s	language training / мовний тренінг | Die Firma bezahlt mir ein Deutsch-Sprachtraining (B2) für den Job.
der Support, -s	support / підтримка, сапорт (IT) | Wenn die App abstürzt, musst du ein Ticket beim Support eröffnen.
die Tilgung, -en	repayment, amortization / погашення (боргу/кредиту) | Die monatliche Tilgung für den Bankkredit ist im Businessplan vermerkt.
umfassend	comprehensive, extensive / комплексний, всеосяжний | Dieses Framework bietet eine umfassende Lösung für das Frontend-Routing.
die Umsetzung, -en	implementation, execution / реалізація, впровадження | Die Umsetzung des Designs in echten Code dauert etwa zwei Wochen.
sich verschärfen (verschärft sich, verschärfte sich, hat sich verschärft)	to intensify, to worsen / загострюватися | Der Fachkräftemangel in der IT-Branche wird sich in Zukunft noch verschärfen.
vielfältig	diverse, varied / різноманітний | Die Aufgaben in einem agilen Entwicklungsteam sind sehr vielfältig.
der Wettbewerb (Sg.)	competition / конкуренція | Im Cloud-Markt gibt es einen harten Wettbewerb zwischen AWS, Azure und Google.
die Zielgruppe, -n	target audience/group / цільова аудиторія | Unsere Haupt-Zielgruppe sind junge Unternehmen, die ihre IT modernisieren wollen.
belanglos	irrelevant, trivial / незначний, неважливий | Beim Small Talk in der Kaffeepause reden wir oft über belanglose Dinge.
Beziehungen pflegen (pflegt, pflegte, hat gepflegt)	to cultivate relationships / підтримувати стосунки | Auf Konferenzen ist es wichtig, berufliche Beziehungen zu pflegen (Networking).
der Einstieg (Sg.)	entry, start / вступ, початок, старт | Ein kurzes Gespräch über das Wetter ist ein klassischer Einstieg beim Small Talk.
der Eisbrecher (Sg.)	icebreaker / криголам (тема для початку розмови) | Ein Witz über fehlerhaften Code ist ein guter Eisbrecher unter Entwicklern.
geeignet sein für (+ Akk.)	to be suitable for / бути придатним для | Politik ist kein geeignetes Thema für Small Talk im Büro.
(miteinander) ins Gespräch kommen (kommt, kam, ist gekommen)	to strike up a conversation / розговоритися, зав'язати розмову | Beim Hackathon kommt man schnell mit anderen Codern ins Gespräch.
Kontakte knüpfen (knüpft, knüpfte, hat geknüpft)	to establish contacts, to network / встановлювати контакти (нетворкінг) | Ein Meetup ist der perfekte Ort, um neue Kontakte in der Tech-Szene zu knüpfen.
oberflächlich	superficial / поверхневий | Small Talk ist meistens oberflächlich und geht nicht tief ins Detail.
offene Fragen	open questions / відкриті питання | Stellen Sie offene Fragen, um das Gespräch auf der Messe am Laufen zu halten.
plaudern (plaudert, plauderte, hat geplaudert)	to chat / базікати, спілкуватися | Die Entwickler plaudern im Slack-Kanal über neue Features in React.
das Plaudern (Sg.)	chatting / балаканина | Langes Plaudern im Daily Standup ist nicht erlaubt, wir müssen effizient sein.
das Tabuthema, -themen	taboo subject / тема-табу, заборонена тема | Gehalt ist in vielen deutschen Unternehmen leider immer noch ein Tabuthema.
das Umfeld (Sg.)	environment / середовище, оточення | Ein motivierendes Umfeld ist extrem wichtig für kreative Softwareentwicklung.
etw. vermeiden (vermeidet, vermied, hat vermieden)	to avoid / уникати | Wir sollten kontroverse Themen beim Mittagessen mit Kunden vermeiden.
etw. vertiefen (vertieft, vertiefte, hat vertieft)	to deepen / поглиблювати | Wenn das Gespräch gut läuft, kann man das technische Thema weiter vertiefen.
zwanglos	casual, informal, relaxed / невимушений, розслаблений | Nach dem Release gab es ein zwangloses Pizza-Essen mit dem ganzen Team.
ablaufen (läuft ab, lief ab, ist abgelaufen)	to expire, to run out / закінчуватися, закінчувати термін дії | Mein befristeter IT-Arbeitsvertrag wird bald ablaufen.
angesichts (+ Gen.)	in view of, given / зважаючи на, з огляду на | Angesichts des Fachkräftemangels zahlen Firmen höhere Gehälter für Entwickler.
die Arbeitsleistung, -en	work performance / результативність праці, виконана робота | Seine Arbeitsleistung als Junior-Entwickler ist wirklich hervorragend.
aufgrund (+ Gen.)	due to, because of / через, на підставі | Aufgrund eines Serverausfalls arbeiten wir heute komplett offline.
der Ausbildungsvertrag, "-e	training contract / договір на професійне навчання | Er hat seinen Ausbildungsvertrag zum Fachinformatiker unterschrieben.
befristet	fixed-term, temporary / строковий (договір), тимчасовий | Der erste Vertrag im Tech-Startup ist oft auf ein Jahr befristet.
der Berufsalltag (Sg.)	everyday working life / професійні будні | Im IT-Berufsalltag nutzt man häufig agile Methoden wie Scrum.
dank (+ Gen.)	thanks to / завдяки | Dank des neuen React-Frameworks laden die Seiten viel schneller.
der Einblick, -e	insight, glimpse / уявлення, ознайомлення | Das Praktikum gab mir einen guten Einblick in die Softwarearchitektur.
etw. erbringen (erbringt, erbrachte, hat erbracht)	to provide, to perform / надавати, виконувати | Der Freelancer muss die vertraglich vereinbarte Leistung erbringen.
gültig	valid / дійсний | Das SSL-Zertifikat für unsere Webseite ist leider nicht mehr gültig.
infolge (+ Gen.)	as a result of, due to / внаслідок, через | Infolge des fehlerhaften Updates gab es einige Bugs im System.
die Institution, -en	institution / установа, інституція | Das BSI ist eine wichtige Institution für IT-Sicherheit in Deutschland.
der Mindestlohn, "-e	minimum wage / мінімальна зарплата | Der Mindestlohn ist für Senior-Entwickler in der Regel nicht relevant.
der Minijob, -s	marginal employment, mini-job / мініджоб (робота на неповний день до певної суми) | Neben dem Informatik-Studium mache ich einen Minijob als IT-Support.
der Praktikumsvertrag, "-e	internship contract / договір на проходження практики | Mein Praktikumsvertrag als Frontend-Dev läuft über sechs Monate.
der Renteneintritt (Sg.)	retirement / вихід на пенсію | Unser Senior-Architekt plant seinen Renteneintritt für nächstes Jahr.
der Teilzeitarbeitsvertrag, "-e	part-time employment contract / договір про неповний робочий час | Sie hat einen Teilzeitarbeitsvertrag über 20 Stunden pro Woche.
etw. übersteigen (übersteigt, überstieg, hat überstiegen)	to exceed / перевищувати | Die Ladezeit der App darf 2 Sekunden nicht übersteigen.
unbefristet	permanent, unlimited / безстроковий | Ich habe endlich einen unbefristeten Arbeitsvertrag als Entwickler bekommen!
sich verpflichten zu (+ Dat.) (verpflichtet sich, verpflichtete sich, hat sich verpflichtet)	to commit oneself to / зобов'язуватися | Wir verpflichten uns vertraglich zu strengster Datensicherheit.
wegen (+ Gen.)	because of / через | Wegen des Fehlers im Code musste das geplante Release verschoben werden.
der Werkvertrag, "-e	contract for work/services / договір підряду | Der externe Designer arbeitet bei uns auf Basis eines Werkvertrags.
der Zeitaufwand (Sg.)	expenditure of time / витрати часу | Der Zeitaufwand für das Refactoring des alten Codes war enorm.
die Abmahnung, -en	warning, reprimand / попередження, догана | Wegen unautorisierter Software-Nutzung bekam er eine Abmahnung.
der Arbeitskampf, "-e	labor dispute, strike / трудовий конфлікт, страйк | Die IT-Gewerkschaft ruft bei gescheiterten Verhandlungen zum Arbeitskampf auf.
die Belegschaft, -en	workforce, staff / колектив, персонал | Die gesamte Belegschaft wurde über die neuen IT-Sicherheitsrichtlinien informiert.
die Berufsgruppe, -n	occupational group / професійна група | Softwareentwickler sind momentan eine stark gefragte Berufsgruppe.
bestehen aus (+ Dat.) (besteht, bestand, hat bestanden)	to consist of / складатися з | Unser agiles Team besteht aus drei Frontendlern und zwei Backend-Entwicklern.
das Betriebsratsmitglied, -er	works council member / член виробничої ради | Das Betriebsratsmitglied berät uns bei Fragen zum neuen Arbeitsvertrag.
die Betriebsratswahl, -en	works council election / вибори виробничої ради | Die Betriebsratswahl findet dieses Jahr komplett online im Intranet statt.
die Betriebsverlegung, -en	relocation of the company / перенесення підприємства (в інше місце) | Wegen der Betriebsverlegung nach Berlin arbeiten nun viele Entwickler remote.
die Betriebsversammlung, -en	works meeting, staff meeting / загальні збори працівників | Auf der Betriebsversammlung präsentierte der CEO die neuen Quartalsziele.
die Elternzeit, -en	parental leave / декретна відпустка (для обох батьків) | Unser Scrum Master geht für sechs Monate in Elternzeit.
das Erscheinen (Sg.)	appearance, attendance / присутність, явка | Pünktliches Erscheinen zum Daily Standup ist für alle Teammitglieder Pflicht.
fair	fair / справедливий | Wir haben einen sehr fairen und transparenten Onboarding-Prozess.
die Geschäftsführung, -en	management, executive board / керівництво компанії, дирекція | Die Geschäftsführung hat das Budget für unsere Cloud-Server erhöht.
die Gewerkschaft, -en	trade union / профспілка | Die Gewerkschaft verhandelt einen neuen Tarifvertrag für die IT-Branche.
das Gremium, Gremien	committee, board / комітет, комісія | Das IT-Sicherheitsgremium prüft die neuen Firewall-Richtlinien.
die Interessenvertretung, -en	representation of interests / представництво інтересів | Der Betriebsrat ist die offizielle Interessenvertretung der Arbeitnehmer.
mitbestimmen (bestimmt mit, bestimmte mit, hat mitbestimmt)	to have a say, to co-determine / мати право голосу, брати участь у вирішенні | Entwickler sollten bei der Wahl des Tech-Stacks immer mitbestimmen dürfen.
die Mitbestimmung, -en	co-determination, worker participation / участь працівників в управлінні | Die Mitbestimmung des Betriebsrats bei Software-Tools ist gesetzlich geregelt.
nachvollziehbar	comprehensible, understandable / зрозумілий, логічний | Dein Quellcode ist dank der guten Kommentare sehr leicht nachvollziehbar.
der Schritt, -e	step / крок | Der Wechsel zu Microservices war ein großer, aber wichtiger Schritt für uns.
der Sozialplan, "-e	social compensation plan / соціальний план (при скороченнях) | Der Sozialplan federt die finanziellen Folgen der Kündigungen im Startup ab.
der Tätigkeitsbericht, -e	activity report / звіт про діяльність | Im Jira-System generieren wir automatisch unseren wöchentlichen Tätigkeitsbericht.
die Teilzeitkraft, "-e	part-time employee / працівник на неповний робочий день | Wir suchen eine Teilzeitkraft für die Systemadministration.
etw. vergüten (vergütet, vergütete, hat vergütet)	to remunerate, to pay / оплачувати, винагороджувати | Die Überstunden vor dem Release werden extra vergütet.
verhandeln (verhandelt, verhandelte, hat verhandelt)	to negotiate / вести переговори | Ich muss nächste Woche mit HR über mein neues Senior-Gehalt verhandeln.
etw. verhindern (verhindert, verhinderte, hat verhindert)	to prevent / запобігати, перешкоджати | Ein gutes, automatisiertes Backup-System kann Datenverlust verhindern.
etw. verlegen (verlegt, verlegte, hat verlegt)	to relocate, to misplace / переносити (в інше місце) | Wir verlegen den gesamten Serverraum in das neue, sicherere Gebäude.
verständlich	understandable / зрозумілий | Die API-Dokumentation muss für alle externen Entwickler verständlich sein.
etw./jdn. vertreten (vertritt, vertrat, hat vertreten)	to represent, to replace / представляти, заміняти (когось) | Ich muss heute den kranken Product Owner im Kunden-Meeting vertreten.
die Werkhalle, -n	factory hall, workshop / цех, виробниче приміщення | Die WLAN-Abdeckung in der großen Werkhalle wurde durch neue Router verbessert.
die Abfindung, -en	severance pay / вихідна допомога | Nach der überraschenden Kündigung erhielt der Entwickler eine gute Abfindung.
der Abfindungsanspruch, "-e	entitlement to severance pay / право на вихідну допомогу | Der Anwalt prüft meinen Abfindungsanspruch aus dem alten Arbeitsvertrag.
die Alternative, -n	alternative / альтернатива | Die Datenbank PostgreSQL ist oft eine sehr gute Alternative zu MySQL.
etw./jdn. anhören (hört an, hörte an, hat angehört)	to listen to, to hear / вислухати | Wir müssen uns die Sicherheitsbedenken der QA-Abteilung genau anhören.
die Anstellung, -en	employment / працевлаштування, посада | Ich suche nach dem Kurs eine Festanstellung als Fullstack-Developer.
die Arbeitsagentur, -en	employment agency / центр зайнятості | Die Arbeitsagentur finanziert oft IT-Weiterbildungen für Quereinsteiger.
das Arbeitsgericht, -e	labor court / суд у трудових справах | Der Streit um die fristlose Kündigung endete vor dem Arbeitsgericht.
das Arbeitslosengeld, -er (ALG)	unemployment benefit / допомога по безробіттю | Während meiner Jobsuche in der IT beziehe ich Arbeitslosengeld (ALG I).
der Arbeitsplatzverlust (Sg.)	loss of job / втрата робочого місця | Durch Künstliche Intelligenz fürchten einige Berufsgruppen einen Arbeitsplatzverlust.
arbeitssuchend	looking for work, job-seeking / який шукає роботу | Aktuell bin ich arbeitssuchend und lerne neue Frontend-Frameworks.
das Arbeitsverhältnis, -se	employment relationship / трудові відносини | Wir beenden das Arbeitsverhältnis im gegenseitigen Einvernehmen.
ausgehen von (+ Dat.) (geht aus, ging aus, ist ausgegangen)	to assume, to expect / виходити з (припущення) | Wir gehen von einem fehlerfreien und schnellen Deployment am Freitag aus.
etw. auslagern (lagert aus, lagerte aus, hat ausgelagert)	to outsource / віддавати на аутсорс | Die firma möchte den First-Level-Support an einen Dienstleister auslagern.
etw. beanspruchen (beansprucht, beanspruchte, hat beansprucht)	to claim, to require / претендувати на, потребувати | Das Rendering-Skript wird sehr viel CPU-Leistung beanspruchen.
die Berechnung, -en	calculation / розрахунок, обчислення | Die komplexe Berechnung des Algorithmus geschieht sicher im Backend.
betriebsbedingt	for operational reasons / зумовлений виробничою необхідністю | Wegen der Krise gab es leider drei betriebsbedingte Kündigungen im Team.
etw. einbringen (z. B. Kenntnisse) (bringt ein, brachte ein, hat eingebracht)	to bring in, to contribute / робити внесок, привносити (напр., знання) | Er wird sein Expertenwissen im Bereich Cloud-Security in das Projekt einbringen.
die Eingliederung, -en	integration, inclusion / інтеграція, включення (в колектив) | Die Eingliederung der neuen Remote-Entwickler in das Team lief reibungslos.
die Einhaltung (Sg.)	compliance, observance / дотримання | Die strikte Einhaltung der Clean-Code-Regeln ist bei uns Pflicht.
endgültig	final(ly), definitive(ly) / остаточний, остаточно | Wir haben den fehlerhaften Legacy-Code nun endgültig vom Server gelöscht.
führen zu (+ Dat.) (führt, führte, hat geführt)	to lead to, to result in / призводити до | Memory Leaks im Code führen auf Dauer oft zu Server-Abstürzen.
die Klage, -n	lawsuit, complaint / судовий позов, скарга | Gegen die unfaire Kündigung hat er sofort eine Klage eingereicht.
die Klagefrist, -en	deadline for filing a suit / термін подання позову | Man muss die Klagefrist von drei Wochen nach der Kündigung streng beachten.
eine Klage einreichen (reicht ein, reichte ein, hat eingereicht)	to file a lawsuit / подати позов | Er wird beim zuständigen Arbeitsgericht eine Klage einreichen.
eine Klage erheben (erhebt, erhob, hat erhoben)	to file a lawsuit, to sue / подати в суд, пред'явити позов | Wir erheben Klage gegen den Diebstahl unserer Software-Patente.
die Kündigungsfrist, -en	notice period / строк попередження про звільнення | Meine Kündigungsfrist beträgt drei Monate zum Monatsende.
das Kündigungsschreiben, -	notice of termination / лист про звільнення | Ein gültiges Kündigungsschreiben muss in Deutschland schriftlich per Post erfolgen.
möglicherweise	possibly / можливо | Der Bug liegt möglicherweise nicht im Frontend, sondern in der Datenbankverbindung.
die Schließung, -en	closure / закриття | Die Schließung des Standorts in Berlin betrifft leider auch viele Entwickler.
die Sperrzeit, -en	blocking period (for benefits) / період блокування (виплат) | Bei eigener Kündigung ohne neuen Job droht eine Sperrzeit beim Arbeitslosengeld.
der Umbruch, "-e	upheaval, radical change / перелом, радикальна зміна | Die KI-Revolution ist ein gewaltiger Umbruch für die gesamte IT-Branche.
sich verbessern	to improve / покращуватися | Die Code-Qualität hat sich dank regelmäßiger Code-Reviews stark verbessert.
vermutlich	probably, presumably / ймовірно | Der Fehler beim Login liegt vermutlich im Backend.
der Verstoß, "-e	violation, breach / порушення | Das heimliche Teilen von Admin-Passwörtern ist ein schwerer Verstoß.
verstreichen (verstreicht, verstrich, ist verstrichen)	to elapse, to pass (time) / минати, спливати (про час) | Wir ließen die wichtige Deadline für das Update ungenutzt verstreichen.
wahrscheinlich	probably, likely / ймовірно, швидше за все | Das Server-Update wird wahrscheinlich etwa zwei Stunden dauern.
wegfallen (fällt weg, fiel weg, ist weggefallen)	to be dropped, to cease to exist / відпадати, скасовуватися | Durch die Automatisierung (CI/CD) werden einige manuelle QA-Aufgaben wegfallen.
sich wehren gegen (+ Akk.) (wehrt sich, wehrte sich, hat sich gewehrt)	to defend oneself against / захищатися від | Man kann sich rechtlich gegen eine ungerechtfertigte Kündigung wehren.
weiterhin	still, furthermore / і надалі, як і раніше | Wir werden für unsere Projekte weiterhin auf Open-Source-Software setzen.
jdn. zwingen (zwingt, zwang, hat gezwungen)	to force, to compel / змушувати | Der Zeitmangel zwingt uns dazu, das Feature auf den nächsten Sprint zu verschieben.
die Abwesenheit, -en	absence / відсутність | In meiner Abwesenheit übernimmt mein Kollege die Code-Reviews.
die Altersgrenze, -n	age limit / вікове обмеження | Es gibt definitiv keine Altersgrenze für gute und erfahrene Programmierer.
die Arbeitsunfähigkeit (Sg.)	inability to work, incapacity for work / непрацездатність | Bei Arbeitsunfähigkeit durch Krankheit muss man sofort das HR-Team informieren.
die Arbeitsunfähigkeitsbescheinigung, -en	sick note, medical certificate / довідка про непрацездатність (лікарняний) | Die elektronische Arbeitsunfähigkeitsbescheinigung (eAU) geht nun direkt an die Kasse.
die Arbeitsvergütung, -en	remuneration, pay / оплата праці | Die vertragliche Arbeitsvergütung für IT-Spezialisten ist in Deutschland sehr attraktiv.
das Arbeitsverhältnis, -se	employment relationship / трудові відносини | Ihr neues Arbeitsverhältnis als Lead Developer beginnt am 1. September.
etw. beeinträchtigen (beeinträchtigt, beeinträchtigte, hat beeinträchtigt)	to affect, to impair / шкодити, негативно впливати | Die hohe Server-Latenz darf die User-Experience (UX) nicht beeinträchtigen.
die Bruttovergütung, -en	gross remuneration / оплата брутто (до відрахування податків) | Seine jährliche Bruttovergütung im Startup beträgt 75.000 Euro.
jdn. einstellen (stellt ein, stellte ein, hat eingestellt)	to hire, to employ / наймати на роботу | Wir wollen in diesem Quartal drei neue Entwickler einstellen.
die Einwilligung erteilen (erteilt, erteilte, hat erteilt)	to give consent / давати згоду | Der User muss die Einwilligung erteilen, bevor Tracking-Cookies gespeichert werden.
die Entgeltfortzahlung, -en	continued payment of wages (during illness) / збереження заробітної плати (під час хвороби) | Bei Krankheit gibt es in Deutschland eine Entgeltfortzahlung für bis zu sechs Wochen.
etw. erreichen (erreicht, erreichte, hat erreicht)	to achieve, to reach / досягати | Wir wollen im Projekt eine Code-Testabdeckung (Coverage) von over 80% erreichen.
das Geheimnis, -se	secret / таємниця, секрет | Die API-Keys für das Zahlungs-Gateway sind ein streng gehütetes Geheimnis.
das Geschäftsgeheimnis, -se	trade secret / комерційна таємниця | Der Algorithmus unserer KI-Engine ist ein absolutes Geschäftsgeheimnis.
gesetzlich	legal, statutory / встановлений законом | Der gesetzliche Urlaubsanspruch in Deutschland beträgt 20 Tage bei einer 5-Tage-Woche.
gesondert	separate(ly) / окремо | Die finanziellen Boni für den erfolgreichen Launch werden gesondert abgerechnet.
jdm. etw. gewähren (gewährt, gewährte, hat gewährt)	to grant sb. sth. / надавати (дозвіл, доступ) | Der Admin muss dir erst Lesezugriff auf das Git-Repository gewähren.
die Kernarbeitszeit, -en	core working hours / основний робочий час (обов'язкова присутність) | Unsere Kernarbeitszeit im Büro ist von 10:00 bis 15:00 Uhr.
