die Abteilung, -en	department / відділ
Vereinbarungen treffen (trifft, traf, hat getroffen)	to make agreements / укладати угоди, домовлятися
das Verhalten (Sg.)	behavior / поведінка
vertraulich	confidential / конфіденційний
das Zielvereinbarungsgespräch, -e	target agreement discussion / розмова про встановлення цілей
zur Sprache kommen (kommt, kam, ist gekommen)	to come up for discussion / бути обговореним, підніматися (про питання)
die (stationäre) Altenpflege (Sg.)	inpatient elder care / догляд за літніми людьми
die Arbeitsbelastung, -en	workload / робоче навантаження
etw. ausgleichen (gleicht aus, glich aus, hat ausgeglichen)	to balance out, to compensate / урівноважувати, компенсувати
etw. aushandeln (handelt aus, handelte aus, hat ausgehandelt)	to negotiate / вести переговори, домовлятися
belastend	burdensome, stressful / обтяжливий, стресовий
berechtigt	justified, authorized / обґрунтований, виправданий
die Betriebsvereinbarung, -en	company agreement / корпоративна угода
etw. bewilligen (bewilligt, bewilligte, hat bewilligt)	to approve, to grant / схвалювати, давати дозвіл
destruktiv	destructive / деструктивний
die Einschätzung, -en	assessment, evaluation / оцінка, думка
sich einschleichen (z. B. ein Fehler hat sich eingeschlichen) (schleicht sich ein, schlich sich ein, hat sich eingeschlichen)	to creep in / закрадатися (напр., помилка)
die Entlastung, -en	relief / розвантаження, полегшення
die Fachkraft, "-e	skilled worker, professional / кваліфікований спеціаліст
jdm. sind die Hände gebunden	one's hands are tied / руки зв'язані
gehetzt	rushed, harried / загнаний, поспішний
der Gesundheitsschutz (Sg.)	health protection / охорона здоров'я
der Heimleiter, - / die Heimleiterin, -nen	care home manager / керівник інтернату
die Leistungsgrenze (Sg.)	performance limit / межа продуктивності
machtlos	powerless / безсилий
die Mehrarbeit (Sg.)	extra work, overtime / наднормова робота
peinlich	embarrassing / незручний, соромно
der Personalmangel (Sg.)	staff shortage / нестача персоналу
sachlich	objective, factual / об'єктивний
der Tadel, -	reprimand, blame / догана, осуд
jdm. etw. übel nehmen (nimmt, nahm, hat genommen)	to take offense at, to resent / ображатися на когось
unangenehm	unpleasant / неприємний
etw. verbergen (verbirgt, verbarg, hat verborgen)	to hide, to conceal / приховувати
versehentlich	accidentally, by mistake / випадково
etw./jdn. zurückweisen (weist zurück, wies zurück, hat zurückgewiesen)	to reject / відхиляти
sich etw. abgewöhnen (gewöhnt sich ab, gewöhnte sich ab, hat sich abgewöhnt)	to break the habit of / відвикати
sich bemühen um (+ Akk.) (bemüht sich, bemühte sich, hat sich bemüht)	to strive for, to make an effort / намагатися, докладати зусиль
die Beziehung, -en	relationship / відносини, зв'язок
etw. erforschen (erforscht, erforschte, hat erforscht)	to research, to explore / досліджувати
halten von (+ Dat.) (hält, hielt, hat gehalten)	to think of (an opinion) / бути якоїсь думки про щось
die Ich-Botschaft, -en	"I" message / "я-повідомлення"
klingen (klingt, klang, hat geklungen)	to sound / звучати
nachgiebig	yielding, compliant / поступливий
rotsehen (sieht rot, sah rot, hat rotgesehen)	to see red, to lose one's temper / розлютитися (побачити червоне)
sanft	gentle, soft / м'який, ніжний
schädlich für (+ Akk.)	harmful to / шкідливий для
das Tabu, -s	taboo / табу
ungewohnt	unusual, unfamiliar / незвичний
verständnisvoll	understanding, sympathetic / тямущий, з розумінням
wahnsinnig	crazy, insane(ly) / божевільний, неймовірно
sich zurückziehen von (+ Dat.) (zieht sich zurück, zog sich zurück, hat sich zurückgezogen)	to withdraw from / відсторонятися, відступати
der Ablauf, "-e	process, sequence / процес, хід
etw. abwägen (wägt ab, wog ab, hat abgewogen)	to weigh up, to consider / зважувати, обмірковувати
die Arbeitsbedingung, -en	working condition / умова праці
der Aspekt, -e	aspect / аспект
die Auftragsabwicklung, -en	order processing / обробка замовлення
der Baustoff, -e	building material / будівельний матеріал
etw./jdm. Beachtung schenken	to pay attention to / приділяти увагу
etw. benötigen (benötigt, benötigte, hat benötigt)	to need, to require / потребувати
etw. berücksichtigen (berücksichtigt, berücksichtigte, hat berücksichtigt)	to consider, to take into account / враховувати
etw. beschaffen (beschafft, beschaffte, hat beschafft)	to procure, to obtain / діставати, закуповувати
die Beschaffung (Sg.)	procurement / закупівля, придбання
der Beschaffungsmarkt, "-e	procurement market / ринок закупівель
die Bestandsaufnahme, -n	inventory, taking stock / інвентаризація, оцінка стану
das CAD-Programm, -e	CAD program / САПР (система автоматизованого проектування)
der Einfluss, "-e	influence / вплив
Einfluss haben auf (+ Akk.)	to have an influence on / мати вплив на
etw. einkalkulieren (kalkuliert ein, kalkulierte ein, hat einkalkuliert)	to factor in, to take into account / враховувати (у розрахунках)
erforderlich	required, necessary / необхідний
die Fachmesse, -n	trade fair / спеціалізована виставка
das Fertighaus, "-er	prefabricated house / збірний будинок
die Fertighausfirma, -firmen	prefabricated house company / компанія-виробник збірних будинків
das Gartengerät, -e	garden tool / садовий інструмент
geeignet	suitable / підходящий, придатний
global	global / глобальний
die Globalisierung (Sg.)	globalization / глобалізація
das Gut, "-er	good, commodity, asset / товар, майно
der Konkurrenzdruck (Sg.)	competitive pressure / конкурентний тиск
die Lagerkapazität, -en	storage capacity / місткість складу, ємність сховища
die Liefersicherheit (Sg.)	delivery reliability, security of supply / надійність постачання
massiv	massive(ly) / масивний, масштабний
das Material, -ien	material / матеріал
die Menge, -n	amount, quantity / кількість, обсяг
die Produktionsunterbrechung, -en	production interruption, downtime / переривання виробництва, простій
das Rohmaterial, -ien	raw material / сировина
sorgen für (+ Akk.) (sorgt, sorgte, hat gesorgt)	to ensure, to take care of / піклуватися про, забезпечувати
das Steuerbüro, -s	tax consultancy/office / податкове бюро
die Umweltpolitik (Sg.)	environmental policy / екологічна політика
vertraut sein mit (+ Dat.) (ist, war, ist gewesen)	to be familiar with / бути обізнаним з
der Zeichentisch, -e	drawing board, drafting table / креслярський стіл
die Zollbestimmung, -en	customs regulation / митне правило
Angebote einholen (holt ein, holte ein, hat eingeholt)	to get/obtain quotes / отримувати пропозиції (цінові)
der Ansprechpartner, - / die Ansprechpartnerin, -nen	contact person / контактна особа
jdn. auffordern (fordert auf, forderte auf, hat aufgefordert)	to request, to ask / закликати, вимагати
aufmerksam machen auf (+ Akk.) (macht, machte, hat gemacht)	to draw attention to / звертати увагу на
die Auftragsvergabe, -n	award of contract, order placement / розміщення замовлення, укладання контракту
etw. ausrichten (richtet aus, richtete aus, hat ausgerichtet)	to pass on (a message) / передавати (повідомлення)
etw. entgegennehmen (nimmt entgegen, nahm entgegen, hat entgegengenommen)	to receive, to accept / приймати (замовлення, дзвінок)
entscheidend	crucial, decisive / вирішальний
jdn. hinweisen auf (+ Akk.) (weist hin, wies hin, hat hingewiesen)	to point out to / вказувати комусь на щось
das Kriterium, Kriterien	criterion / критерій
die Lieferfrist, -en	delivery deadline, time for delivery / термін доставки
maßgeblich	significant, decisive / визначальний, істотний
die Prokura (Sg.)	commercial power of attorney / довіреність (на право підпису)
das Türschloss, "-er	door lock / дверний замок
verbinden mit (+ Dat.) (verbindet, verband, hat verbunden)	to connect with / з'єднувати з
verbindlich	binding, obligatory / обов'язковий (до виконання), зобов'язуючий
jdn. verweisen auf (+ Akk.) (verweist, verwies, hat verwiesen)	to refer to / відсилати до (когось/чогось)
der Wettbewerber, -	competitor / конкурент
die Zusicherung, -en	assurance, guarantee / запевнення, гарантія
der Abzug, "-e	deduction / відрахування, знижка
der Akku, -s	battery / акумулятор
ein Angebot unterbreiten (unterbreitet, unterbreitete, hat unterbreitet)	to submit an offer/quote / робити/надавати пропозицію
etw. anlegen (z. B. einen Garten) (legt an, legte an, hat angelegt)	to create, to set up / створювати (напр. базу даних, обліковий запис)
enthalten (enthält, enthielt, hat enthalten)	to contain, to include / містити в собі
der Ersatzakku, -s	spare battery / запасний акумулятор
der Erstauftrag, "-e	initial order / перше замовлення
sich erweisen als (erweist sich, erwies sich, hat sich erwiesen)	to turn out to be, to prove to be / виявлятися (кимось/чимось)
der Folgeauftrag, "-e	follow-up order / наступне/повторне замовлення
die Funktionsfähigkeit (Sg.)	functionality, operability / функціональність, працездатність
die Gebrauchsweise (Sg.)	method of use, instructions for use / спосіб використання
die Gesamtbestellung (Sg.)	total order / загальне замовлення
der Gesamtpreis, -e	total price / загальна вартість
kostengünstig	cost-effective, cheap / вигідний за ціною, недорогий
die Marktchancen (Pl.)	market opportunities / ринкові можливості
nachteilig	disadvantageous, detrimental / невигідний, шкідливий
optional	optional / опціональний, необов'язковий
der Rabatt, -e	discount / знижка
der Skonto (Sg.)	cash discount / сконто (знижка за швидку оплату)
der Sonderpreis, -e	special price / спеціальна ціна
standardmäßig	standard, by default / за замовчуванням, стандартно
der Stückpreis, -e	unit price / ціна за штуку
einen Termin einhalten (hält ein, hielt ein, hat eingehalten)	to meet a deadline / дотримуватися терміну
üblicherweise	usually, typically / зазвичай
die Versandkosten (Pl.)	shipping costs / вартість доставки
vorteilig	advantageous, beneficial / вигідний, сприятливий
die Zahlungsbedingungen (Pl.)	terms of payment / умови оплати
die Zahlungsfrist, -en	payment deadline/period / строк оплати
die Abnahme, -n	acceptance, approval / приймання (робіт), узгодження
das Abnahmeprotokoll, -e	acceptance report/protocol / акт приймання-передачі
etw. anschauen (schaut an, schaute an, hat angeschaut)	to look at, to examine / дивитися, розглядати
der Auftraggeber, - / die Auftraggeberin, -nen	client, principal, customer / замовник, клієнт
etw. ausführen (führt aus, führte aus, hat ausgeführt)	to execute, to perform / виконувати
die Bauabnahme, -n	building inspection/acceptance / приймання будівельного об'єкта
der Bauherr, -en / die Bauherrin, -nen	building owner/client / забудовник, власник будівлі
die Bauleistung, -en	construction work / будівельні роботи
das Bauunternehmen, -	construction company / будівельна компанія
bedauerlicherweise	unfortunately, regrettably / на жаль
etw. beseitigen (beseitigt, beseitigte, hat beseitigt)	to eliminate, to fix / усувати
die Beseitigung (Sg.)	removal, resolution / усунення
der Eigentümer, - / die Eigentümerin, -nen	owner / власник
die Einweisung, -en	instruction, briefing / інструктаж
etw. fertigstellen (stellt fertig, stellte fertig, hat fertiggestellt)	to complete, to finish / завершувати
die Fußleiste, -n	baseboard, skirting board / плінтус
die Gewährleistungsfrist, -en	warranty period / гарантійний термін
die Kleinigkeit, -en	small detail, minor matter / дрібниця
lediglich	merely, only / лише, тільки
machbar	feasible, doable / здійсненний, можливий
der Mangel, "-	defect, flaw / недолік, дефект
die Nacharbeiten (Pl.)	rework, touch-ups / доопрацювання
die Nachbesserung, -en	rectification of defects, improvement / виправлення (помилок), доопрацювання
der Personalengpass, "-e	staff shortage / нестача персоналу
die Pflicht, -en	duty, obligation / обов'язок
das Prüfstück, -e	test piece, sample / дослідний зразок, тестовий екземпляр
in der Regel	usually, as a rule / зазвичай, як правило
das Übergabeprotokoll, -e	handover protocol / акт передачі
unverzüglich	immediately, without delay / негайно, без зволікань
die Verzögerung, -en	delay / затримка
zeitnah	promptly, in a timely manner / своєчасно, найближчим часом
zufriedenstellend	satisfactory / задовільний
die Abmahnung, -en	warning, reprimand (written) / попередження, догана
akzeptabel	acceptable / прийнятний
die Bewertung, -en	evaluation, review, rating / оцінка, відгук
eine Dienstleistung erbringen (erbringt, erbrachte, hat erbracht)	to provide a service / надавати послугу
erwünscht	desired, welcome / бажаний
fällig werden	to become due (for payment) / підлягати сплаті, настати (про термін)
permanent	permanent(ly) / постійний, перманентний
eine Rolle spielen	to play a role/part / відігравати роль
der Schadenersatz (Sg.)	compensation for damages / відшкодування збитків
tolerant	tolerant / толерантний
zum guten Ton gehören	to be good manners/etiquette / бути правилом хорошого тону
etw. abschalten (schaltet ab, schaltete ab, hat abgeschaltet)	to switch off, to shut down / вимикати, відключати
anfallen (fällt an, fiel an, ist angefallen)	to arise, to be incurred / виникати (про витрати або роботу)
die Aufnahme, -n	recording, picture, admission / знімок, запис, прийом
begeistert	enthusiastic, excited / у захваті, натхненний
etw. beheben (z. B. einen Fehler) (behebt, behob, hat behoben)	to fix, to resolve / усувати, виправляти (напр., помилку)
etw. beschädigen (beschädigt, beschädigte, hat beschädigt)	to damage / пошкоджувати
der Dienstleister, - / die Dienstleisterin, -nen	service provider / постачальник послуг, підрядник
das Display, -s	display, screen / дисплей, екран
etw. einstellen (stellt ein, stellte ein, hat eingestellt)	to stop, to adjust / припиняти, налаштовувати
das Elektronikmodul, -e	electronic module / електронний модуль
etw. erkennen (erkennt, erkannte, hat erkannt)	to recognize, to detect / розпізнавати, виявляти
erscheinen (erscheint, erschien, ist erschienen)	to appear / з'являтися
das Fachgeschäft, -e	specialist shop / спеціалізований магазин
fehlerhaft	faulty, defective, buggy / помилковий, дефектний
den Geist aufgeben (gibt auf, gab auf, hat aufgegeben)	to give up the ghost, to break down / наказати довго жити, зламатися
glücklicherweise	fortunately, luckily / на щастя
die Großwäscherei, -en	large-scale laundry / велика пральня
die Herstellerfirma, -firmen	manufacturing company / компанія-виробник
jdn. konfrontieren mit (+ Dat.) (konfrontiert, konfrontierte, hat konfrontiert)	to confront someone with / зіштовхувати когось із, пред'являти
lieferbar	available, deliverable / доступний для доставки, в наявності
der Mangel, "-	defect, flaw, shortage / дефект, недолік, нестача
das Modul, -e	module / модуль
der Monteur, -e / die Monteurin, -nen	mechanic, fitter, installer / монтажник, механік
etw. nachbestellen (bestellt nach, bestellte nach, hat nachbestellt)	to reorder / дозамовляти
ein Problem beheben (behebt, behob, hat behoben)	to fix/resolve a problem / вирішити проблему
der Retourenschein, -e	return slip / бланк повернення
die Serviceleistung, -en	service / сервісна послуга
die Textilie, -n	textile / текстиль, тканина
umsonst	free of charge, in vain / безкоштовно, даремно
etw. verfärben (verfärbt, verfärbte, hat verfärbt)	to discolor / змінювати колір, забарвлювати
etw. versalzen (versalzt, versalzte, hat versalzen)	to oversalt / пересолити
sich verspäten (verspätet sich, verspätete sich, ist verspätet)	to be late, to be delayed / запізнюватися, затримуватися
jdm. etw. versprechen (verspricht, versprach, hat versprochen)	to promise someone something / обіцяти комусь щось
etw. zerbrechen (zerbricht, zerbrach, hat zerbrochen)	to break, to shatter / розбивати
etw. zerkratzen	to scratch / подряпати
etw. zerreißen (zerreißt, zerriss, hat zerrissen)	to tear, to rip / розривати
Abhilfe schaffen (schafft, schaffte, hat geschaffen)	to remedy, to fix a problem / зарадити, усунути проблему
allerdings	however, indeed / однак, щоправда
etw. bedauern (bedauert, bedauerte, hat bedauert)	to regret / шкодувати про щось
zu unserem Bedauern	to our regret / на наш жаль
etw. bestätigen (bestätigt, bestätigte, hat bestätigt)	to confirm / підтверджувати
die Dunstabzugshaube, -n	extractor hood / витяжка (кухонна)
eintreffen (trifft ein, traf ein, ist eingetroffen)	to arrive / прибувати, надходити
der Eingang, "-e	receipt, arrival, entrance / надходження, вхід
den Eingang bestätigen (bestätigt, bestätigte, hat bestätigt)	to confirm receipt / підтвердити отримання
die Flamme, -n	flame / полум'я
der Gefrierschrank, "-e	freezer / морозильна камера
sich herausstellen (stellt sich heraus, stellte sich heraus, hat sich herausgestellt)	to turn out / з'ясовуватися, виявлятися
der Lieferschein, -e	delivery note / накладна (на доставку)
etw. nachliefern (liefert nach, lieferte nach, hat nachgeliefert)	to deliver later, to supply subsequently / допоставити, доставити пізніше
umgehend	immediately, promptly / негайно, терміново
verfügbar	available / доступний
das Versehen, -	mistake, oversight, accident / помилка, недогляд
die Warenkontrolle, -n	goods inspection / перевірка товару
die Anfahrt, -en	journey, approach (driving) / проїзд, дорога (до місця)
die Anschaffung, -en	purchase, acquisition / придбання, покупка
der Aufpreis, -e	surcharge, extra charge / доплата
ausgehen von (+ Dat.) (geht aus, ging aus, ist ausgegangen)	to assume, to proceed from / виходити з (припущення)
etw. beinhalten (beinhaltet, beinhaltete, hat beinhaltet)	to contain, to include / містити, охоплювати
etw. beseitigen (beseitigt, beseitigte, hat beseitigt)	to eliminate, to fix / усувати, ліквідувати
die Beteiligung, -en	participation, share / участь, частка
defekt	defective, broken / несправний, дефектний
erfolgen (erfolgt, erfolgte, ist erfolgt)	to take place, to occur / відбуватися, здійснюватися
der Fehlercode, -s	error code / код помилки
die Frachtkosten (Pl.)	freight costs, shipping costs / витрати на перевезення
freiwillig	voluntary / добровільно
die Garantie, -n	guarantee, warranty / гарантія
die Garantieverlängerung, -en	warranty extension / продовження гарантії
gesetzlich	legal, statutory / законний, законодавчий
die Gesprächsnotiz, -en	memo, discussion note / запис бесіди, нотатка
gewährleisten (gewährleistet, gewährleistete, hat gewährleistet)	to guarantee, to ensure / гарантувати, забезпечувати
die Gewährleistung, -en	warranty, guarantee (statutory) / гарантійне зобов'язання (за законом)
der Händler, - / die Händlerin, -nen	dealer, retailer, trader / продавець, дилер
die Herstellergarantie, -n	manufacturer's warranty / гарантія від виробника
der Kaufzeitpunkt, -e	time of purchase / момент покупки
Kosten übernehmen (übernimmt, übernahm, hat übernommen)	to bear the costs / брати на себе витрати
kulant	accommodating, fair, obliging / поступливий, такий, що йде назустріч
der Kundenservice, -s	customer service / служба підтримки клієнтів
die Mängelbeseitigung, -en	rectification of defects / усунення недоліків
das Missverständnis, -se	misunderstanding / непорозуміння
etw. nachweisen (weist nach, wies nach, hat nachgewiesen)	to prove, to demonstrate / доводити, підтверджувати
der Nachweis, -e	proof, evidence / доказ, підтвердження
ordnungsgemäß	proper, correct(ly) / належним чином, правильно
etw. reklamieren (reklamiert, reklamierte, hat reklamiert)	to complain, to claim / рекламувати, пред'являти претензію
verantwortlich für (+ Akk.)	responsible for / відповідальний за
die Verlängerung, -en	extension / продовження, подовження
jdm. etw. versichern (versichert, versicherte, hat versichert)	to assure someone of something / запевняти когось у чомусь
der Zustand (Sg.)	state, condition / стан
die Abrechnungssoftware, -s	billing software, accounting software / програмне забезпечення для розрахунків / бухгалтерії
der Ansprechpartner, - / die Ansprechpartnerin, -nen	contact person / контактна особа
der Außendienst (Sg.)	field service, sales force / служба зовнішніх продажів / роботи з клієнтами
der Außendienstmitarbeiter, - / die Außendienstmitarbeiterin, -nen	field representative / співробітник, що працює на виїзді
der Betriebsarzt, "-e / die Betriebsärztin, -nen	company doctor / лікар на підприємстві
dazwischenkommen (kommt dazwischen, kam dazwischen, ist dazwischengekommen)	to intervene, to come up unexpectedly / втрутитися, виникнути непередбачено
firmenintern	internal to the company, in-house / всередині компанії, внутрішньокорпоративний
das Firmenjubiläum, -jubiläen	company anniversary / ювілей компанії
die Grippeimpfung, -en	flu vaccination / щеплення від грипу
hundertjährig	hundred-year-old, centennial / столітній
das Intranet (Sg.)	intranet / інтранет, внутрішня мережа
etw. wahrnehmen (z. B. einen Termin) (nimmt wahr, nahm wahr, hat wahrgenommen)	to attend (an appointment) / використовувати, з'явитися (на зустріч)
amüsant	amusing, entertaining / кумедний, розважальний
berechtigt	justified, legitimate / обґрунтований, виправданий
die Entschädigung, -en	compensation / компенсація, відшкодування
die Enttäuschung, -en	disappointment / розчарування
die Erstattung, -en	refund, reimbursement / відшкодування, повернення грошей
etw. einhalten (hält ein, hielt ein, hat eingehalten)	to comply with, to keep (e.g. deadlines) / дотримуватися (правил, термінів)
in jedem Fall	in any case, definitely / у будь-якому випадку
generell	general(ly), in general / загалом, як правило
klagen über (+ Akk.) (klagt, klagte, hat geklagt)	to complain about / скаржитися на
die Meckerei (Sg.)	complaining, grumbling / постійні скарги, бурчання
offensichtlich	obvious(ly), apparent(ly) / очевидний, явний
der Pauschalurlaub, -e	package holiday / пакетний тур
der Reiseveranstalter, -	tour operator / туроператор
der Schadenersatz (Sg.)	damages, compensation / відшкодування збитків
Schadenersatz leisten (leistet, leistete, hat geleistet)	to pay compensation for damages / відшкодовувати збитки
jdn. verklagen (verklagt, verklagte, hat verklagt)	to sue / подавати в суд на когось
etw. verlangen (verlangt, verlangte, hat verlangt)	to demand, to require / вимагати
das Anliegen, -	request, concern, matter / прохання, справа, питання
der Arbeitsspeicher, -	RAM, main memory / оперативна пам'ять (RAM)
etw. ausstatten (stattet aus, stattete aus, hat ausgestattet)	to equip, to furnish / обладнувати, оснащувати
etw. ausstellen (stellt aus, stellte aus, hat ausgestellt)	to exhibit, to display / виставляти (на виставці)
die Automobilausstellung, -en	motor show, car exhibition / автомобільна виставка
die Bildungsmesse, -n	education fair / освітня виставка
die Buchmesse, -n	book fair / книжковий ярмарок
die Einrichtungsmesse, -n	interior design fair, furniture fair / виставка інтер'єру / меблів
die Fachmesse, -n	trade fair, specialized exhibition / спеціалізована виставка
die Fachveranstaltung, -en	professional event, symposium / фаховий захід
die Festplattengröße, -n	hard drive size/capacity / об'єм жорсткого диска
der Gesprächsinhalt, -e	content of conversation / зміст розмови
informativ	informative / інформативний
die Innovation, -en	innovation / інновація
etw. konfigurieren (konfiguriert, konfigurierte, hat konfiguriert)	to configure, to set up / налаштовувати, конфігурувати
leistungsfähig	powerful, efficient / потужний, продуктивний
leistungsstark	high-performance, powerful / високопродуктивний
die Messegesprächsnotiz, -en	trade fair discussion note / нотатка про розмову на виставці
die Messeteilnahme (Sg.)	participation in a trade fair / участь у виставці
mittelständisch	medium-sized / середній (про бізнес)
die Publikumsmesse, -n	public fair, consumer exhibition / виставка для широкої публіки
die Tourismusbörse, -n	tourism exchange/fair / туристична біржа/виставка
der Umsatz, "-e	revenue, sales, turnover / оборот, виручка, обсяг продажів
variabel	variable, adjustable / змінний, варіативний
etw. abrufen (ruft ab, rief ab, hat abgerufen)	to fetch, to retrieve, to call up / робити запит, викликати, отримувати (дані)
abwechslungsreich	varied, diverse / різноманітний
angeblich	allegedly, supposedly / нібито, ймовірно
ansprechbar	responsive, approachable / доступний для спілкування, чуйний
etw. auszeichnen (zeichnet aus, zeichnete aus, hat ausgezeichnet)	to award, to distinguish / відзначати, нагороджувати
der Band, "-e	volume (book) / том (книги)
die Bedienbarkeit (Sg.)	usability, operability / зручність використання, юзабіліті
das Begleitprogramm, -e	supporting program / супровідна програма
etw. behaupten (behauptet, behauptete, hat behauptet)	to claim, to assert / стверджувати
dynamisch	dynamic / динамічний
etw. einbeziehen (bezieht ein, bezog ein, hat einbezogen)	to include, to integrate / залучати, включати
etw. einsetzen (setzt ein, setzte ein, hat eingesetzt)	to deploy, to use, to employ / застосовувати, впроваджувати
etw. erweitern (erweitert, erweiterte, hat erweitert)	to expand, to extend / розширювати
das Experiment, -e	experiment / експеримент
der Fachberater, - / die Fachberaterin, -nen	specialist consultant / фахівець-консультант, експерт
das Fachwissen (Sg.)	expertise, expert knowledge / професійні знання, експертиза
fundiert	profound, well-founded, sound / ґрунтовний, глибокий
das Gerücht, -e	rumor / чутка
individuell	individual, custom / індивідуальний, кастомний
die Jugendsozialarbeit (Sg.)	youth social work / молодіжна соціальна робота
die Komponente, -n	component / компонент
das Lehrwerk, -e	textbook, coursebook / підручник, навчальний посібник
die Lernhilfe, -n	study aid / навчальний посібник
die Lernplattform, -en	learning platform / навчальна платформа
die Messepräsentation, -en	trade fair presentation / презентація на виставці
Multimedia-Inhalte (Pl.)	multimedia content / мультимедійний контент
die Neuerscheinung, -en	new release, new publication / новинка, нове видання
sich orientieren an (+ Dat.) (orientiert sich, orientierte sich, hat sich orientiert)	to orient oneself by, to follow / орієнтуватися на
die Schulform, -en	type of school / тип школи
der Überblick, -e	overview / огляд, уявлення, загальна картина
überwiegend	predominantly, mostly / переважно
sich verbessern (verbessert sich, verbesserte sich, hat sich verbessert)	to improve / покращуватися, вдосконалюватися
der Verlag, -e	publisher / видавництво
der Vortrag, "-e	lecture, presentation, talk / доповідь, лекція
das Wissen (Sg.)	knowledge / знання
der Workshop, -s	workshop / воркшоп, майстер-клас
die Anforderung, -en	requirement, demand / вимога
die Arbeitsbelastung (Sg.)	workload / робоче навантаження
die Beschreibung, -en	description / опис
der Bildungsbereich, -e	education sector / сфера освіти
die Digitalisierung (Sg.)	digitalization / цифровізація
etw. erfüllen (z. B. Anforderungen) (erfüllt, erfüllte, hat erfüllt)	to meet, to fulfill (e.g. requirements) / виконувати, задовольняти (напр., вимоги)
die Geschäftsidee, -n	business idea / бізнес-ідея
gut tun (tut gut, tat gut, hat gutgetan)	to do good, to be beneficial / робити добро, йти на користь
etw. investieren (investiert, investierte, hat investiert)	to invest / інвестувати, вкладати
die Revolution, -en	revolution / революція
die Weisung, -en	instruction, directive / вказівка, інструкція
die Anwendung, -en	application / застосунок, додаток (IT)
ausgeprägt	distinct, pronounced, strong / виражений, характерний, сильний
das Bankdarlehen, -	bank loan / банківська позика
das Bedürfnis, -se	need, requirement / потреба
Bedürfnisse erfüllen	to fulfill needs / задовольняти потреби
benutzerfreundlich	user-friendly / зручний для користувача, зрозумілий
der Bildungsverlag, -e	educational publisher / навчальне видавництво
die Branchenkenntnis, -se	industry knowledge / знання галузі
der Businessplan, "-e	business plan / бізнес-план
das Darlehen, -	loan / позика, кредит
das Eigenkapital (Sg.)	equity, own capital / власний капітал
erfolgsversprechend	promising / багатообіцяючий, перспективний
der Finanzplan, "-e	financial plan / фінансовий план
die Fixkosten (Pl.)	fixed costs / постійні витрати
geschäftsführend	managing, executive / керуючий
das Geschäftsprofil, -e	business profile / бізнес-профіль
der Gesellschafter, - / die Gesellschafterin, -nen	partner, shareholder / засновник, партнер, акціонер
die GmbH, -s	LLC (Limited Liability Company) / ТОВ (товариство з обмеженою відповідальністю)
die Investitionskosten (Pl.)	investment costs / інвестиційні витрати
etw. integrieren (integriert, integrierte, hat integriert)	to integrate / інтегрувати, впроваджувати
das Know-how (Sg.)	know-how, expertise / ноу-хау, практичні знання
kompetent	competent, capable / компетентний
das Konkurrenzunternehmen, -	competing company / компанія-конкурент
die Kredithöhe, -n	loan amount / сума кредиту
die Laufzeit, -en	runtime, duration, term / час виконання (IT), термін дії (контракту)
die Ratenzahlung, -en	installment payment / оплата частинами
etw. realisieren (realisiert, realisierte, hat realisiert)	to realize, to implement / реалізувати, впроваджувати
die Rechtsform, -en	legal form / правова форма (підприємства)
die Schufa-Auskunft, "-e	credit report (Schufa) / кредитна історія (Schufa в Німеччині)
das Sprachtraining, -s	language training / мовний тренінг
der Support, -s	support / підтримка, сапорт (IT)
die Tilgung, -en	repayment, amortization / погашення (боргу/кредиту)
umfassend	comprehensive, extensive / комплексний, всеосяжний
die Umsetzung, -en	implementation, execution / реалізація, впровадження
sich verschärfen (verschärft sich, verschärfte sich, hat sich verschärft)	to intensify, to worsen / загострюватися
vielfältig	diverse, varied / різноманітний
der Wettbewerb (Sg.)	competition / конкуренція
die Zielgruppe, -n	target audience/group / цільова аудиторія
belanglos	irrelevant, trivial / незначний, неважливий
Beziehungen pflegen (pflegt, pflegte, hat gepflegt)	to cultivate relationships / підтримувати стосунки
der Einstieg (Sg.)	entry, start / вступ, початок, старт
der Eisbrecher (Sg.)	icebreaker / криголам (тема для початку розмови)
geeignet sein für (+ Akk.)	to be suitable for / бути придатним для
(miteinander) ins Gespräch kommen (kommt, kam, ist gekommen)	to strike up a conversation / розговоритися, зав'язати розмову
Kontakte knüpfen (knüpft, knüpfte, hat geknüpft)	to establish contacts, to network / встановлювати контакти (нетворкінг)
oberflächlich	superficial / поверхневий
offene Fragen	open questions / відкриті питання
plaudern (plaudert, plauderte, hat geplaudert)	to chat / базікати, спілкуватися
das Plaudern (Sg.)	chatting / балаканина
das Tabuthema, -themen	taboo subject / тема-табу, заборонена тема
das Umfeld (Sg.)	environment / середовище, оточення
etw. vermeiden (vermeidet, vermied, hat vermieden)	to avoid / уникати
etw. vertiefen (vertieft, vertiefte, hat vertieft)	to deepen / поглиблювати
zwanglos	casual, informal, relaxed / невимушений, розслаблений
ablaufen (läuft ab, lief ab, ist abgelaufen)	to expire, to run out / закінчуватися, закінчувати термін дії
angesichts (+ Gen.)	in view of, given / зважаючи на, з огляду на
die Arbeitsleistung, -en	work performance / результативність праці, виконана робота
aufgrund (+ Gen.)	due to, because of / через, на підставі
der Ausbildungsvertrag, "-e	training contract / договір на професійне навчання
befristet	fixed-term, temporary / строковий (договір), тимчасовий
