#separator:;
#html:true
#columns:German;German_Audio;English;Ukrainian;Example
abwechslungsreich;abwechslungsreich;varied, diverse;різноманітний;Der Job als Fullstack-Entwickler in einem Startup ist extrem abwechslungsreich.
angeblich;angeblich;allegedly, supposedly;нібито, ймовірно;Der Bug ist angeblich schon gefixt, aber bei mir stürzt die App immer noch ab.
ansprechbar;ansprechbar;responsive, approachable;доступний для спілкування, чуйний;Ein guter Teamlead ist bei Problemen immer für seine Entwickler ansprechbar.
etw. auszeichnen (zeichnet aus, zeichnete aus, hat ausgezeichnet);auszeichnen;to award, to distinguish;відзначати, нагороджувати;Unsere App wurde auf der Messe für das beste UX-Design ausgezeichnet.
der Band, "-e;der Band;volume (book);том (книги);Das Handbuch für das alte System füllt einen ganzen Band.
das Begleitprogramm, -e;das Begleitprogramm;supporting program;супровідна програма;Neben den Tech-Talks gibt es auf der Messe ein tolles Begleitprogramm (z.B. Hackathons).
dynamisch;dynamisch;dynamic;динамічний;Wir haben eine dynamische Webseite entwickelt, die sich an User-Präferenzen anpasst.
etw. einbeziehen (bezieht ein, bezog ein, hat einbezogen);einbeziehen;to include, to integrate;залучати, включати;Wir müssen das Feedback der Beta-Tester in das nächste Release einbeziehen.
etw. einsetzen (setzt ein, setzte ein, hat eingesetzt);einsetzen;to deploy, to use, to employ;застосовувати, впроваджувати;Welche Technologien setzt ihr in eurem aktuellen Projekt ein?
das Experiment, -e;das Experiment;experiment;експеримент;Dieses A/B-Testing ist ein Experiment, um die Conversion Rate zu erhöhen.
der Fachberater, - / die Fachberaterin, -nen;der Fachberater;specialist consultant;фахівець-консультант, експерт;Unser IT-Fachberater hilft Kunden bei der Umstellung auf die Cloud.
fundiert;fundiert;profound, well-founded, sound;ґрунтовний, глибокий;Der Senior Developer hat sehr fundierte Kenntnisse in Softwarearchitektur.
das Gerücht, -e;das Gerücht;rumor;чутка;Es gibt das Gerücht, dass Apple bald eine neue VR-Brille vorstellt.
individuell;individuell;individual, custom;індивідуальний, кастомний;Wir programmieren eine individuell angepasste Software-Lösung für den Kunden.
die Jugendsozialarbeit (Sg.);die Jugendsozialarbeit;youth social work;молодіжна соціальна робота;Es gibt eine App, die Organisationen in der Jugendsozialarbeit vernetzt.
die Komponente, -n;die Komponente;component;компонент;Wir entwickeln das User-Interface mit wiederverwendbaren React-Komponenten.
das Lehrwerk, -e;das Lehrwerk;textbook, coursebook;підручник, навчальний посібник;Dies ist das beste Lehrwerk, um die Programmiersprache C++ zu lernen.
die Lernhilfe, -n;die Lernhilfe;study aid;навчальний посібник;Flashcard-Apps wie Anki sind eine großartige digitale Lernhilfe.
die Lernplattform, -en;die Lernplattform;learning platform;навчальна платформа;Wir hosten unsere Coding-Kurse auf einer eigenen Lernplattform.
die Messepräsentation, -en;die Messepräsentation;trade fair presentation;презентація на виставці;Die Messepräsentation unseres neuen KI-Features lief perfekt.
Multimedia-Inhalte (Pl.);Multimedia-Inhalte;multimedia content;мультимедійний контент;Die App muss große Mengen an Multimedia-Inhalten schnell laden können.
die Neuerscheinung, -en;die Neuerscheinung;new release, new publication;новинка, нове видання;Diese Bibliothek ist eine Neuerscheinung auf GitHub und trendet gerade.
sich orientieren an (+ Dat.) (orientiert sich, orientierte sich, hat sich orientiert);sich orientieren an;to orient oneself by, to follow;орієнтуватися на;Beim Design orientieren wir uns stark an den Material Design Guidelines von Google.
die Schulform, -en;die Schulform;type of school;тип школи;Unsere Bildungs-Software ist für jede Schulform (Gymnasium, Realschule) geeignet.
der Überblick, -e;der Überblick;overview;огляд, уявлення, загальна картина;Das Dashboard gibt dem Admin einen schnellen Überblick über die Server-Last.
überwiegend;überwiegend;predominantly, mostly;переважно;Unser Entwickler-Team arbeitet überwiegend remote aus dem Homeoffice.
sich verbessern (verbessert sich, verbesserte sich, hat sich verbessert);sich verbessern;to improve;покращуватися, вдосконалюватися;Dank des Refactorings hat sich die Code-Qualität deutlich verbessert.
der Verlag, -e;der Verlag;publisher;видавництво;Der IT-Verlag bringt ein neues Buch über Kubernetes heraus.
der Vortrag, "-e;der Vortrag;lecture, presentation, talk;доповідь, лекція;Ich habe auf der Konferenz einen interessanten Vortrag über DevOps gehört.
das Wissen (Sg.);das Wissen;knowledge;знання;Das Wissen im IT-Bereich veraltet extrem schnell, man muss ständig lernen.
der Workshop, -s;der Workshop;workshop;воркшоп, майстер-клас;Wir machen am Freitag einen internen Workshop zum Thema Clean Code.
die Anforderung, -en;die Anforderung;requirement, demand;вимога;Die technischen Anforderungen an dieses Projekt sind sehr hoch.
die Arbeitsbelastung (Sg.);die Arbeitsbelastung;workload;робоче навантаження;Die Arbeitsbelastung ist in der Woche vor dem Release oft enorm.
die Beschreibung, -en;die Beschreibung;description;опис;Bitte füge dem Pull Request eine kurze Beschreibung deiner Änderungen hinzu.
der Bildungsbereich, -e;der Bildungsbereich;education sector;сфера освіти;EdTech-Startups bringen Innovationen in den klassischen Bildungsbereich.
etw. erfüllen (z. B. Anforderungen) (erfüllt, erfüllte, hat erfüllt);erfüllen;to meet, to fulfill (e.g. requirements);виконувати, задовольняти (напр., вимоги);Diese Software-Lösung erfüllt alle Anforderungen des Kunden.
die Geschäftsidee, -n;die Geschäftsidee;business idea;бізнес-ідея;Er hat eine geniale Geschäftsidee für eine neue Social-Media-App.
gut tun (tut gut, tat gut, hat gutgetan);gut tun;to do good, to be beneficial;робити добро, йти на користь;Ein paar Tage Urlaub ohne Laptop werden dir nach diesem Projekt gut tun.
etw. investieren (investiert, investierte, hat investiert);investieren;to invest;інвестувати, вкладати;Die Firma will eine Million Euro in die Entwicklung der neuen Plattform investieren.
die Revolution, -en;die Revolution;revolution;революція;ChatGPT hat eine echte Revolution in der Softwareentwicklung ausgelöst.
die Weisung, -en;die Weisung;instruction, directive;вказівка, інструкція;Der Entwickler arbeitete auf direkte Weisung des CTO an diesem Feature.
die Anwendung, -en;die Anwendung;application;застосунок, додаток (IT);Die mobile Anwendung wurde nativ in Swift für iOS programmiert.
ausgeprägt;ausgeprägt;distinct, pronounced, strong;виражений, характерний, сильний;Er hat ein stark ausgeprägtes logisches Denken – perfekt fürs Programmieren.
das Bankdarlehen, -;das Bankdarlehen;bank loan;банківська позика;Das Startup musste ein Bankdarlehen aufnehmen, um die neuen Server zu bezahlen.
das Bedürfnis, -se;das Bedürfnis;need, requirement;потреба;Unsere Software ist exakt auf die Bedürfnisse der Logistik-Branche zugeschnitten.
Bedürfnisse erfüllen;Bedürfnisse erfüllen;to fulfill needs;задовольняти потреби;Eine gute App muss die Bedürfnisse der User schnell und einfach erfüllen.
der Bildungsverlag, -e;der Bildungsverlag;educational publisher;навчальне видавництво;Der Bildungsverlag digitalisiert seine Lerninhalte für die neue Schul-Cloud.
die Branchenkenntnis, -se;die Branchenkenntnis;industry knowledge;знання галузі;Für den Job als IT-Berater ist tiefe Branchenkenntnis im Finanzsektor wichtig.
der Businessplan, "-e;der Businessplan;business plan;бізнес-план;Im Businessplan für unser Tech-Startup ist auch das Budget für AWS kalkuliert.
das Darlehen, -;das Darlehen;loan;позика, кредит;Wir zahlen das Darlehen für das neue Büro in monatlichen Raten zurück.
das Eigenkapital (Sg.);das Eigenkapital;equity, own capital;власний капітал;Die Gründer haben viel Eigenkapital in die Software-Firma gesteckt.
erfolgsversprechend;erfolgsversprechend;promising;багатообіцяючий, перспективний;Die neue KI-Technologie sieht sehr erfolgsversprechend aus.
der Finanzplan, "-e;der Finanzplan;financial plan;фінансовий план;Der CFO (Finanzchef) hat den Finanzplan für das nächste Jahr vorgestellt.
die Fixkosten (Pl.);die Fixkosten;fixed costs;постійні витрати;Server-Miete und Gehälter gehören zu den monatlichen Fixkosten der IT-Firma.
geschäftsführend;geschäftsführend;managing, executive;керуючий;Als geschäftsführender Gesellschafter leitet er das Startup.
das Geschäftsprofil, -e;das Geschäftsprofil;business profile;бізнес-профіль;Unser Geschäftsprofil auf LinkedIn zieht viele Recruiter an.
der Gesellschafter, - / die Gesellschafterin, -nen;der Gesellschafter;partner, shareholder;засновник, партнер, акціонер;Die Gesellschafter haben entschieden, den Code als Open Source freizugeben.
die GmbH, -s;die GmbH;LLC (Limited Liability Company);ТОВ (товариство з обмеженою відповідальністю);Unser IT-Startup wurde letztes Jahr offiziell als GmbH in Berlin registriert.
die Investitionskosten (Pl.);die Investitionskosten;investment costs;інвестиційні витрати;Die Investitionskosten für den Aufbau eines eigenen Rechenzentrums sind gigantisch.
etw. integrieren (integriert, integrierte, hat integriert);integrieren;to integrate;інтегрувати, впроваджувати;Wir wollen den Payment-Provider Stripe in unseren Shop integrieren.
das Know-how (Sg.);das Know-how;know-how, expertise;ноу-хау, практичні знання;Wir suchen jemanden mit tiefem Know-how im Bereich Cloud-Architektur.
kompetent;kompetent;competent, capable;компетентний;Unser Support-Team ist sehr kompetent und löst Tickets in Rekordzeit.
das Konkurrenzunternehmen, -;das Konkurrenzunternehmen;competing company;компанія-конкурент;Das Konkurrenzunternehmen hat leider ein ähnliches Feature vor uns gelauncht.
die Kredithöhe, -n;die Kredithöhe;loan amount;сума кредиту;Die Kredithöhe reicht genau für die Entwicklung des Prototyps (MVP).
die Laufzeit, -en;die Laufzeit;runtime, duration, term;час виконання (IT), термін дії (контракту);Die Laufzeit (Runtime) dieses Algorithmus muss dringend optimiert werden.
die Ratenzahlung, -en;die Ratenzahlung;installment payment;оплата частинами;Für teure Software-Lizenzen bieten wir Kunden auch Ratenzahlung an.
etw. realisieren (realisiert, realisierte, hat realisiert);realisieren;to realize, to implement;реалізувати, впроваджувати;Wir wollen dieses komplexe Feature noch im aktuellen Sprint realisieren.
die Rechtsform, -en;die Rechtsform;legal form;правова форма (підприємства);Die GmbH ist die beliebteste Rechtsform für IT-Startups in Deutschland.
die Schufa-Auskunft, "-e;die Schufa-Auskunft;credit report (Schufa);кредитна історія (Schufa в Німеччині);Der Vermieter des neuen IT-Büros verlangt eine positive Schufa-Auskunft.
das Sprachtraining, -s;das Sprachtraining;language training;мовний тренінг;Die Firma bezahlt mir ein Deutsch-Sprachtraining (B2) für den Job.
der Support, -s;der Support;support;підтримка, сапорт (IT);Wenn die App abstürzt, musst du ein Ticket beim Support eröffnen.
die Tilgung, -en;die Tilgung;repayment, amortization;погашення (боргу/кредиту);Die monatliche Tilgung für den Bankkredit ist im Businessplan vermerkt.
umfassend;umfassend;comprehensive, extensive;комплексний, всеосяжний;Dieses Framework bietet eine umfassende Lösung für das Frontend-Routing.
die Umsetzung, -en;die Umsetzung;implementation, execution;реалізація, впровадження;Die Umsetzung des Designs in echten Code dauert etwa zwei Wochen.
sich verschärfen (verschärft sich, verschärfte sich, hat sich verschärft);sich verschärfen;to intensify, to worsen;загострюватися;Der Fachkräftemangel in der IT-Branche wird sich in Zukunft noch verschärfen.
der Wettbewerb (Sg.);der Wettbewerb;competition;конкуренція;Im Cloud-Markt gibt es einen harten Wettbewerb zwischen AWS, Azure und Google.
die Zielgruppe, -n;die Zielgruppe;target audience/group;цільова аудиторія;Unsere Haupt-Zielgruppe sind junge Unternehmen, die ihre IT modernisieren wollen.
belanglos;belanglos;irrelevant, trivial;незначний, неважливий;Beim Small Talk in der Kaffeepause reden wir oft über belanglose Dinge.
Beziehungen pflegen (pflegt, pflegte, hat gepflegt);Beziehungen pflegen;to cultivate relationships;підтримувати стосунки;Auf Konferenzen ist es wichtig, berufliche Beziehungen zu pflegen (Networking).
der Einstieg (Sg.);der Einstieg;entry, start;вступ, початок, старт;Ein kurzes Gespräch über das Wetter ist ein klassischer Einstieg beim Small Talk.
der Eisbrecher (Sg.);der Eisbrecher;icebreaker;криголам (тема для початку розмови);Ein Witz über fehlerhaften Code ist ein guter Eisbrecher unter Entwicklern.
geeignet sein für (+ Akk.);geeignet sein für;to be suitable for;бути придатним для;Politik ist kein geeignetes Thema für Small Talk im Büro.
(miteinander) ins Gespräch kommen (kommt, kam, ist gekommen);ins Gespräch kommen;to strike up a conversation;розговоритися, зав'язати розмову;Beim Hackathon kommt man schnell mit anderen Codern ins Gespräch.
Kontakte knüpfen (knüpft, knüpfte, hat geknüpft);Kontakte knüpfen;to establish contacts, to network;встановлювати контакти (нетворкінг);Ein Meetup ist der perfekte Ort, um neue Kontakte in der Tech-Szene zu knüpfen.
oberflächlich;oberflächlich;superficial;поверхневий;Small Talk ist meistens oberflächlich und geht nicht tief ins Detail.
offene Fragen;offene Fragen;open questions;відкриті питання;Stellen Sie offene Fragen, um das Gespräch auf der Messe am Laufen zu halten.
plaudern (plaudert, plauderte, hat geplaudert);plaudern;to chat;базікати, спілкуватися;Die Entwickler plaudern im Slack-Kanal über neue Features in React.
das Plaudern (Sg.);das Plaudern;chatting;балаканина;Langes Plaudern im Daily Standup ist nicht erlaubt, wir müssen effizient sein.
das Tabuthema, -themen;das Tabuthema;taboo subject;тема-табу, заборонена тема;Gehalt ist in vielen deutschen Unternehmen leider immer noch ein Tabuthema.
das Umfeld (Sg.);das Umfeld;environment;середовище, оточення;Ein motivierendes Umfeld ist extrem wichtig für kreative Softwareentwicklung.
zwanglos;zwanglos;casual, informal, relaxed;невимушений, розслаблений;Nach dem Release gab es ein zwangloses Pizza-Essen mit dem ganzen Team.
ablaufen (läuft ab, lief ab, ist abgelaufen);ablaufen;to expire, to run out;закінчуватися, закінчувати термін дії;Mein befristeter IT-Arbeitsvertrag wird bald ablaufen.
angesichts (+ Gen.);angesichts;in view of, given;зважаючи на, з огляду на;Angesichts des Fachkräftemangels zahlen Firmen höhere Gehälter für Entwickler.
die Arbeitsleistung, -en;die Arbeitsleistung;work performance;результативність праці, виконана робота;Seine Arbeitsleistung als Junior-Entwickler ist wirklich hervorragend.
aufgrund (+ Gen.);aufgrund;due to, because of;через, на підставі;Aufgrund eines Serverausfalls arbeiten wir heute komplett offline.
der Ausbildungsvertrag, "-e;der Ausbildungsvertrag;training contract;договір на професійне навчання;Er hat seinen Ausbildungsvertrag zum Fachinformatiker unterschrieben.
der Berufsalltag (Sg.);der Berufsalltag;everyday working life;професійні будні;Im IT-Berufsalltag nutzt man häufig agile Methoden wie Scrum.
dank (+ Gen.);dank;thanks to;завдяки;Dank des neuen React-Frameworks laden die Seiten viel schneller.
der Einblick, -e;der Einblick;insight, glimpse;уявлення, ознайомлення;Das Praktikum gab mir einen guten Einblick in die Softwarearchitektur.
etw. erbringen (erbringt, erbrachte, hat erbracht);erbringen;to provide, to perform;надавати, виконувати;Der Freelancer muss die vertraglich vereinbarte Leistung erbringen.
gültig;gültig;valid;дійсний;Das SSL-Zertifikat für unsere Webseite ist leider nicht mehr gültig.
infolge (+ Gen.);infolge;as a result of, due to;внаслідок, через;Infolge des fehlerhaften Updates gab es einige Bugs im System.
die Institution, -en;die Institution;institution;установа, інституція;Das BSI ist eine wichtige Institution für IT-Sicherheit in Deutschland.
der Mindestlohn, "-e;der Mindestlohn;minimum wage;мінімальна зарплата;Der Mindestlohn ist für Senior-Entwickler in der Regel nicht relevant.
der Minijob, -s;der Minijob;marginal employment, mini-job;мініджоб (робота на неповний день до певної суми);Neben dem Informatik-Studium mache ich einen Minijob als IT-Support.
der Praktikumsvertrag, "-e;der Praktikumsvertrag;internship contract;договір на проходження практики;Mein Praktikumsvertrag als Frontend-Dev läuft über sechs Monate.
der Renteneintritt (Sg.);der Renteneintritt;retirement;вихід на пенсію;Unser Senior-Architekt plant seinen Renteneintritt für nächstes Jahr.
der Teilzeitarbeitsvertrag, "-e;der Teilzeitarbeitsvertrag;part-time employment contract;договір про неповний робочий час;Sie hat einen Teilzeitarbeitsvertrag über 20 Stunden pro Woche.
etw. übersteigen (übersteigt, überstieg, hat überstiegen);übersteigen;to exceed;перевищувати;Die Ladezeit der App darf 2 Sekunden nicht übersteigen.
sich verpflichten zu (+ Dat.) (verpflichtet sich, verpflichtete sich, hat sich verpflichtet);sich verpflichten zu;to commit oneself to;зобов'язуватися;Wir verpflichten uns vertraglich zu strengster Datensicherheit.
wegen (+ Gen.);wegen;because of;через;Wegen des Fehlers im Code musste das geplante Release verschoben werden.
der Werkvertrag, "-e;der Werkvertrag;contract for work/services;договір підряду;Der externe Designer arbeitet bei uns auf Basis eines Werkvertrags.
der Zeitaufwand (Sg.);der Zeitaufwand;expenditure of time;витрати часу;Der Zeitaufwand für das Refactoring des alten Codes war enorm.
der Arbeitskampf, "-e;der Arbeitskampf;labor dispute, strike;трудовий конфлікт, страйк;Die IT-Gewerkschaft ruft bei gescheiterten Verhandlungen zum Arbeitskampf auf.
die Belegschaft, -en;die Belegschaft;workforce, staff;колектив, персонал;Die gesamte Belegschaft wurde über die neuen IT-Sicherheitsrichtlinien informiert.
die Berufsgruppe, -n;die Berufsgruppe;occupational group;професійна група;Softwareentwickler sind momentan eine stark gefragte Berufsgruppe.
bestehen aus (+ Dat.) (besteht, bestand, hat bestanden);bestehen aus;to consist of;складатися з;Unser agiles Team besteht aus drei Frontendlern und zwei Backend-Entwicklern.
das Betriebsratsmitglied, -er;das Betriebsratsmitglied;works council member;член виробничої ради;Das Betriebsratsmitglied berät uns bei Fragen zum neuen Arbeitsvertrag.
die Betriebsratswahl, -en;die Betriebsratswahl;works council election;вибори виробничої ради;Die Betriebsratswahl findet dieses Jahr komplett online im Intranet statt.
die Betriebsverlegung, -en;die Betriebsverlegung;relocation of the company;перенесення підприємства (в інше місце);Wegen der Betriebsverlegung nach Berlin arbeiten nun viele Entwickler remote.
die Elternzeit, -en;die Elternzeit;parental leave;декретна відпустка (для обох батьків);Unser Scrum Master geht für sechs Monate in Elternzeit.
das Erscheinen (Sg.);das Erscheinen;appearance, attendance;присутність, явка;Pünktliches Erscheinen zum Daily Standup ist für alle Teammitglieder Pflicht.
fair;fair;fair;справедливий;Wir haben einen sehr fairen und transparenten Onboarding-Prozess.
die Geschäftsführung, -en;die Geschäftsführung;management, executive board;керівництво компанії, дирекція;Die Geschäftsführung hat das Budget für unsere Cloud-Server erhöht.
das Gremium, Gremien;das Gremium;committee, board;комітет, комісія;Das IT-Sicherheitsgremium prüft die neuen Firewall-Richtlinien.
die Interessenvertretung, -en;die Interessenvertretung;representation of interests;представництво інтересів;Der Betriebsrat ist die offizielle Interessenvertretung der Arbeitnehmer.
mitbestimmen (bestimmt mit, bestimmte mit, hat mitbestimmt);mitbestimmen;to have a say, to co-determine;мати право голосу, брати участь у вирішенні;Entwickler sollten bei der Wahl des Tech-Stacks immer mitbestimmen dürfen.
die Mitbestimmung, -en;die Mitbestimmung;co-determination, worker participation;участь працівників в управлінні;Die Mitbestimmung des Betriebsrats bei Software-Tools ist gesetzlich geregelt.
nachvollziehbar;nachvollziehbar;comprehensible, understandable;зрозумілий, логічний;Dein Quellcode ist dank der guten Kommentare sehr leicht nachvollziehbar.
der Schritt, -e;der Schritt;step;крок;Der Wechsel zu Microservices war ein großer, aber wichtiger Schritt für uns.
der Sozialplan, "-e;der Sozialplan;social compensation plan;соціальний план (при скороченнях);Der Sozialplan federt die finanziellen Folgen der Kündigungen im Startup ab.
der Tätigkeitsbericht, -e;der Tätigkeitsbericht;activity report;звіт про діяльність;Im Jira-System generieren wir automatisch unseren wöchentlichen Tätigkeitsbericht.
die Teilzeitkraft, "-e;die Teilzeitkraft;part-time employee;працівник на неповний робочий день;Wir suchen eine Teilzeitkraft für die Systemadministration.
etw. vergüten (vergütet, vergütete, hat vergütet);vergüten;to remunerate, to pay;оплачувати, винагороджувати;Die Überstunden vor dem Release werden extra vergütet.
etw. verlegen (verlegt, verlegte, hat verlegt);verlegen;to relocate, to misplace;переносити (в інше місце);Wir verlegen den gesamten Serverraum in das neue, sicherere Gebäude.
die Werkhalle, -n;die Werkhalle;factory hall, workshop;цех, виробниче приміщення;Die WLAN-Abdeckung in der großen Werkhalle wurde durch neue Router verbessert.
die Abfindung, -en;die Abfindung;severance pay;вихідна допомога;Nach der überraschenden Kündigung erhielt der Entwickler eine gute Abfindung.
der Abfindungsanspruch, "-e;der Abfindungsanspruch;entitlement to severance pay;право на вихідну допомогу;Der Anwalt prüft meinen Abfindungsanspruch aus dem alten Arbeitsvertrag.
die Alternative, -n;die Alternative;alternative;альтернатива;Die Datenbank PostgreSQL ist oft eine sehr gute Alternative zu MySQL.
etw./jdn. anhören (hört an, hörte an, hat angehört);etw.;to listen to, to hear;вислухати;Wir müssen uns die Sicherheitsbedenken der QA-Abteilung genau anhören.
die Anstellung, -en;die Anstellung;employment;працевлаштування, посада;Ich suche nach dem Kurs eine Festanstellung als Fullstack-Developer.
die Arbeitsagentur, -en;die Arbeitsagentur;employment agency;центр зайнятості;Die Arbeitsagentur finanziert oft IT-Weiterbildungen für Quereinsteiger.
das Arbeitsgericht, -e;das Arbeitsgericht;labor court;суд у трудових справах;Der Streit um die fristlose Kündigung endete vor dem Arbeitsgericht.
das Arbeitslosengeld, -er (ALG);das Arbeitslosengeld;unemployment benefit;допомога по безробіттю;Während meiner Jobsuche in der IT beziehe ich Arbeitslosengeld (ALG I).
der Arbeitsplatzverlust (Sg.);der Arbeitsplatzverlust;loss of job;втрата робочого місця;Durch Künstliche Intelligenz fürchten einige Berufsgruppen einen Arbeitsplatzverlust.
arbeitssuchend;arbeitssuchend;looking for work, job-seeking;який шукає роботу;Aktuell bin ich arbeitssuchend und lerne neue Frontend-Frameworks.
das Arbeitsverhältnis, -se;das Arbeitsverhältnis;employment relationship;трудові відносини;Wir beenden das Arbeitsverhältnis im gegenseitigen Einvernehmen.
etw. auslagern (lagert aus, lagerte aus, hat ausgelagert);auslagern;to outsource;віддавати на аутсорс;Die firma möchte den First-Level-Support an einen Dienstleister auslagern.
etw. beanspruchen (beansprucht, beanspruchte, hat beansprucht);beanspruchen;to claim, to require;претендувати на, потребувати;Das Rendering-Skript wird sehr viel CPU-Leistung beanspruchen.
die Berechnung, -en;die Berechnung;calculation;розрахунок, обчислення;Die komplexe Berechnung des Algorithmus geschieht sicher im Backend.
betriebsbedingt;betriebsbedingt;for operational reasons;зумовлений виробничою необхідністю;Wegen der Krise gab es leider drei betriebsbedingte Kündigungen im Team.
etw. einbringen (z. B. Kenntnisse) (bringt ein, brachte ein, hat eingebracht);einbringen;to bring in, to contribute;робити внесок, привносити (напр., знання);Er wird sein Expertenwissen im Bereich Cloud-Security in das Projekt einbringen.
die Eingliederung, -en;die Eingliederung;integration, inclusion;інтеграція, включення (в колектив);Die Eingliederung der neuen Remote-Entwickler in das Team lief reibungslos.
die Einhaltung (Sg.);die Einhaltung;compliance, observance;дотримання;Die strikte Einhaltung der Clean-Code-Regeln ist bei uns Pflicht.
endgültig;endgültig;final(ly), definitive(ly);остаточний, остаточно;Wir haben den fehlerhaften Legacy-Code nun endgültig vom Server gelöscht.
führen zu (+ Dat.) (führt, führte, hat geführt);führen zu;to lead to, to result in;призводити до;Memory Leaks im Code führen auf Dauer oft zu Server-Abstürzen.
die Klage, -n;die Klage;lawsuit, complaint;судовий позов, скарга;Gegen die unfaire Kündigung hat er sofort eine Klage eingereicht.
die Klagefrist, -en;die Klagefrist;deadline for filing a suit;термін подання позову;Man muss die Klagefrist von drei Wochen nach der Kündigung streng beachten.
eine Klage einreichen (reicht ein, reichte ein, hat eingereicht);eine Klage einreichen;to file a lawsuit;подати позов;Er wird beim zuständigen Arbeitsgericht eine Klage einreichen.
eine Klage erheben (erhebt, erhob, hat erhoben);eine Klage erheben;to file a lawsuit, to sue;подати в суд, пред'явити позов;Wir erheben Klage gegen den Diebstahl unserer Software-Patente.
die Kündigungsfrist, -en;die Kündigungsfrist;notice period;строк попередження про звільнення;Meine Kündigungsfrist beträgt drei Monate zum Monatsende.
das Kündigungsschreiben, -;das Kündigungsschreiben;notice of termination;лист про звільнення;Ein gültiges Kündigungsschreiben muss in Deutschland schriftlich per Post erfolgen.
möglicherweise;möglicherweise;possibly;можливо;Der Bug liegt möglicherweise nicht im Frontend, sondern in der Datenbankverbindung.
die Schließung, -en;die Schließung;closure;закриття;Die Schließung des Standorts in Berlin betrifft leider auch viele Entwickler.
die Sperrzeit, -en;die Sperrzeit;blocking period (for benefits);період блокування (виплат);Bei eigener Kündigung ohne neuen Job droht eine Sperrzeit beim Arbeitslosengeld.
der Umbruch, "-e;der Umbruch;upheaval, radical change;перелом, радикальна зміна;Die KI-Revolution ist ein gewaltiger Umbruch für die gesamte IT-Branche.
sich verbessern;sich verbessern;to improve;покращуватися;Die Code-Qualität hat sich dank regelmäßiger Code-Reviews stark verbessert.
vermutlich;vermutlich;probably, presumably;ймовірно;Der Fehler beim Login liegt vermutlich im Backend.
der Verstoß, "-e;der Verstoß;violation, breach;порушення;Das heimliche Teilen von Admin-Passwörtern ist ein schwerer Verstoß.
verstreichen (verstreicht, verstrich, ist verstrichen);verstreichen;to elapse, to pass (time);минати, спливати (про час);Wir ließen die wichtige Deadline für das Update ungenutzt verstreichen.
wahrscheinlich;wahrscheinlich;probably, likely;ймовірно, швидше за все;Das Server-Update wird wahrscheinlich etwa zwei Stunden dauern.
wegfallen (fällt weg, fiel weg, ist weggefallen);wegfallen;to be dropped, to cease to exist;відпадати, скасовуватися;Durch die Automatisierung (CI/CD) werden einige manuelle QA-Aufgaben wegfallen.
sich wehren gegen (+ Akk.) (wehrt sich, wehrte sich, hat sich gewehrt);sich wehren gegen;to defend oneself against;захищатися від;Man kann sich rechtlich gegen eine ungerechtfertigte Kündigung wehren.
weiterhin;weiterhin;still, furthermore;і надалі, як і раніше;Wir werden für unsere Projekte weiterhin auf Open-Source-Software setzen.
die Abwesenheit, -en;die Abwesenheit;absence;відсутність;In meiner Abwesenheit übernimmt mein Kollege die Code-Reviews.
die Altersgrenze, -n;die Altersgrenze;age limit;вікове обмеження;Es gibt definitiv keine Altersgrenze für gute und erfahrene Programmierer.
die Arbeitsunfähigkeit (Sg.);die Arbeitsunfähigkeit;inability to work, incapacity for work;непрацездатність;Bei Arbeitsunfähigkeit durch Krankheit muss man sofort das HR-Team informieren.
die Arbeitsunfähigkeitsbescheinigung, -en;die Arbeitsunfähigkeitsbescheinigung;sick note, medical certificate;довідка про непрацездатність (лікарняний);Die elektronische Arbeitsunfähigkeitsbescheinigung (eAU) geht nun direkt an die Kasse.
die Arbeitsvergütung, -en;die Arbeitsvergütung;remuneration, pay;оплата праці;Die vertragliche Arbeitsvergütung für IT-Spezialisten ist in Deutschland sehr attraktiv.
etw. beeinträchtigen (beeinträchtigt, beeinträchtigte, hat beeinträchtigt);beeinträchtigen;to affect, to impair;шкодити, негативно впливати;Die hohe Server-Latenz darf die User-Experience (UX) nicht beeinträchtigen.
die Bruttovergütung, -en;die Bruttovergütung;gross remuneration;оплата брутто (до відрахування податків);Seine jährliche Bruttovergütung im Startup beträgt 75.000 Euro.
die Einwilligung erteilen (erteilt, erteilte, hat erteilt);die Einwilligung erteilen;to give consent;давати згоду;Der User muss die Einwilligung erteilen, bevor Tracking-Cookies gespeichert werden.
die Entgeltfortzahlung, -en;die Entgeltfortzahlung;continued payment of wages (during illness);збереження заробітної плати (під час хвороби);Bei Krankheit gibt es in Deutschland eine Entgeltfortzahlung für bis zu sechs Wochen.
das Geheimnis, -se;das Geheimnis;secret;таємниця, секрет;Die API-Keys für das Zahlungs-Gateway sind ein streng gehütetes Geheimnis.
das Geschäftsgeheimnis, -se;das Geschäftsgeheimnis;trade secret;комерційна таємниця;Der Algorithmus unserer KI-Engine ist ein absolutes Geschäftsgeheimnis.
gesondert;gesondert;separate(ly);окремо;Die finanziellen Boni für den erfolgreichen Launch werden gesondert abgerechnet.
jdm. etw. gewähren (gewährt, gewährte, hat gewährt);jdm. etw. gewähren;to grant sb. sth.;надавати (дозвіл, доступ);Der Admin muss dir erst Lesezugriff auf das Git-Repository gewähren.
